date/time,open,high,low,close,volume
2010-03-12,77.6100,77.9500,75.9200,76.9900,7019200
2010-03-05,74.2500,77.3900,73.0200,76.9400,13228500
2010-02-26,73.1800,74.9500,71.2400,74.8300,15417100
2010-02-19,76.7400,76.9800,72.4900,73.3500,11495200
2010-02-12,73.9300,77.0800,72.4100,77.0500,15805500
2010-02-05,78.9900,80.7900,71.0000,74.7100,43698900
2010-01-29,88.3800,88.4900,76.5100,77.0000,10680497
2010-01-22,90.9600,91.9700,88.0100,88.1700,1773000
2010-01-15,86.1300,91.8800,85.3500,91.1400,2682200
2010-01-08,84.7500,85.8900,83.0100,85.7600,1844400
2009-12-31,84.3400,85.1600,83.9000,84.1600,612700
2009-12-24,82.7700,84.9600,82.1800,84.9100,944900
2009-12-18,83.6700,84.5000,82.1700,82.9200,1402200
2009-12-11,83.9400,84.4900,82.6400,84.3400,2377100
2009-12-04,79.0600,85.7000,78.1000,84.3000,3020600
2009-11-27,77.6400,78.2400,75.7900,77.0200,1324500
2009-11-20,79.0000,80.6800,76.9000,76.9700,1537700
2009-11-13,77.7000,79.2700,76.1200,78.2500,2456200
2009-11-06,80.0100,80.7300,77.3800,78.1600,2810900
2009-10-30,79.4000,80.4400,77.6200,78.8900,2837400
2009-10-23,79.9000,80.6000,77.2700,77.6600,1886200
2009-10-16,78.5300,80.7400,78.5300,79.1400,2027700
2009-10-09,75.0000,79.4900,74.1400,78.3000,3332200
2009-10-02,80.2800,81.1800,75.0000,75.1900,3062600
2009-09-25,82.7300,83.9400,80.6200,81.1000,3672100
2009-09-18,82.9600,84.7700,81.7500,83.5800,2120300
2009-09-11,83.7100,85.6200,82.8700,83.9600,1309300
2009-09-04,85.3000,86.3000,82.3800,83.9000,2297200
2009-08-28,86.2000,87.1800,85.5800,86.2600,1689000
2009-08-21,83.8000,87.5500,83.3700,86.3400,1976800
2009-08-14,86.5400,86.5400,84.0000,85.7500,2291300
2009-08-07,86.0000,87.6700,83.4700,85.3200,3768300
2009-07-31,80.1500,85.1200,79.0000,84.1800,3295800
2009-07-24,75.5000,80.2400,75.3100,80.0600,2185100
2009-07-17,73.9800,75.8400,73.2800,75.3000,2655000
2009-07-10,75.3100,75.9700,72.9000,73.7600,2018100
2009-07-02,74.8500,76.6500,73.6300,74.0900,2363200
2009-06-26,76.9300,77.8800,74.3300,76.3400,3187600
2009-06-19,78.0600,78.0600,75.5000,76.6100,2736200
2009-06-12,80.0400,80.3600,78.0000,78.8400,2200100
2009-06-05,80.9800,82.2500,78.2200,79.8000,3659100
2009-05-29,76.4500,80.3000,75.5000,80.1500,2916400
2009-05-22,75.1000,78.0900,75.1000,75.3200,3631300
2009-05-15,77.2000,77.5800,72.5000,74.4000,4527600
2009-05-08,79.9900,83.9400,77.5200,79.1700,5293600
2009-05-01,78.1000,80.7100,76.2800,79.1700,4922500
2009-04-24,77.9900,81.9000,74.8000,80.9200,5748500
2009-04-17,77.5200,78.9500,75.3900,77.1400,4069300
2009-04-09,74.1800,79.3200,72.5200,79.1900,4298000
2009-04-03,64.8000,75.3400,63.0000,75.1100,8589700
2009-03-27,63.0600,67.2700,62.7300,65.5900,5708300
2009-03-20,60.9900,63.9000,60.1800,60.6000,4540600
2009-03-13,58.3500,61.1900,56.7900,60.3900,5224300
2009-03-06,62.3900,62.6900,56.9600,58.2500,7226500
2009-02-27,63.9300,66.9600,61.7400,63.1400,6796300
2009-02-20,64.7600,68.0300,63.1100,64.7400,4397800
2009-02-13,69.9500,71.5000,65.0300,65.4500,5826100
2009-02-06,62.9500,70.0000,62.7500,69.3800,6045300
2009-01-30,62.4900,68.3400,61.9100,63.5100,5487600
2009-01-23,67.9900,68.5400,61.0000,62.5800,5938800
2009-01-16,66.6800,67.2900,61.5200,66.5700,5661900
2009-01-09,65.6800,68.3800,65.2800,66.5300,5088700
2009-01-02,65.0800,66.8000,63.2600,66.3700,3131200
2008-12-26,61.9500,63.7700,58.9500,63.6500,3911500
2008-12-19,66.6400,69.7800,63.6400,64.3800,7931400
2008-12-12,59.0000,65.9900,59.0000,63.2000,6931600
2008-12-05,61.8500,62.7100,55.4100,58.1700,8690400
2008-11-28,64.5100,68.3000,62.0900,63.1000,4942600
2008-11-21,62.5100,64.5300,58.6300,63.6800,8471000
2008-11-14,70.0000,70.2500,61.9100,63.6800,7273500
2008-11-07,76.2500,83.7500,64.8000,68.5200,8454100
2008-10-31,65.5000,78.7500,62.0000,76.0900,5901900
2008-10-24,70.6300,74.6800,64.1200,66.0900,5495400
2008-10-17,64.9900,74.7600,62.4100,67.1000,7498700
2008-10-10,75.2500,75.5400,57.0100,61.2500,9632000
2008-10-03,86.9300,86.9300,77.9800,78.1000,5662300
2008-09-26,91.5100,91.8700,86.7500,90.7600,3566000
2008-09-19,86.8900,91.4200,83.3800,91.3500,4536800
2008-09-12,90.1700,92.2000,88.0800,90.9200,4189800
2008-09-05,89.4800,90.8900,86.9800,88.8200,3622800
2008-08-29,90.2200,90.3400,87.0400,89.5900,2894800
2008-08-22,91.7900,91.8300,87.0800,88.8600,3364800
2008-08-15,90.4600,93.2000,89.0100,90.9100,3746600
2008-08-08,83.1000,90.8000,82.0800,90.3400,4848000
2008-08-01,90.8000,90.8000,84.6800,85.0800,3135400
2008-07-25,89.9400,94.4600,88.6800,91.8200,3702700
2008-07-18,90.5000,90.7800,87.0600,89.2900,4891000
2008-07-11,92.6500,93.8500,89.6100,90.5200,3227300
2008-07-03,93.9000,95.0000,91.2100,92.0000,3314600
2008-06-27,99.0100,99.0100,93.9100,94.3300,3831400
2008-06-20,103.0500,104.4000,97.2300,97.7100,3241100
2008-06-13,103.5600,103.8000,100.1900,102.7100,2324900
2008-06-06,103.0300,106.8200,101.9200,102.6400,3308000
2008-05-30,101.9400,102.3000,96.7000,102.0500,2808100
2008-05-23,104.5700,106.0000,98.5000,98.8900,3025200
2008-05-16,101.0400,104.1200,100.0300,101.8700,2276000
2008-05-09,104.9500,106.5800,99.2500,101.3100,2947300
2008-05-02,101.4200,105.1400,101.0200,104.9400,2532100
